mean_voltage,std_deviation,peak_count,fft_energy
0.006939633,0.081205078,23,1028.828045
-0.006514953,0.072926467,22,1059.950895
-0.004961227,0.076095263,31,1089.159666
-0.00233829,0.08120593,28,798.09292
0.000763659,0.088866736,34,940.148219
-0.009907204,0.08094035,26,871.7910792
-0.000937412,0.083215268,27,881.994984
-0.006410022,0.074577326,29,954.0408907
-0.008183352,0.074352274,33,902.8459986
-0.012169951,0.066442764,33,901.1879307
-0.0090583,0.078357467,31,1097.013856
0.001062101,0.07221813,22,945.0045647
-0.008039711,0.078201449,22,1121.385315
-0.006738173,0.084959397,26,1228.579879
-0.01082677,0.089326544,24,1193.787961
-0.005595705,0.064406164,26,1114.532741
-1.98E-05,0.096928116,21,1097.435103
-0.010831885,0.092439554,31,942.9552601
-0.001386823,0.075857953,21,867.2342481
-0.010230404,0.077249098,29,1093.312622
-0.005557282,0.08587276,22,955.3651614
-0.001037426,0.074355057,25,993.5741468
-0.00997944,0.088293761,30,962.0699984
0.00059883,0.09103522,30,1036.502079
0.000324599,0.083899657,20,1035.601732
-0.012249799,0.084763143,31,1018.734058
-0.008493165,0.097562293,26,1135.392554
-0.016187142,0.073885115,25,1084.883953
-0.005818532,0.075270231,25,1159.069339
-0.012272222,0.070496383,28,907.4183057
-0.00680605,0.066090559,21,1115.900308
-0.003853312,0.074958183,32,928.4097154
-0.006221567,0.067559309,26,980.3532654
-0.007247092,0.0677482,26,991.7199913
0.002893427,0.072099402,23,1053.337304
0.002563319,0.075053642,24,1088.518733
-0.002204314,0.076766982,21,1000.329899
-0.013531964,0.096692329,29,945.9930814
-0.000580499,0.078843462,30,983.4289179
0.001656495,0.091146947,22,927.2091148
-0.004010768,0.074082149,33,1118.614387
-0.008221755,0.083193483,25,1197.618604
-0.007855212,0.08189321,26,890.6733407
-0.001133124,0.079995483,21,1075.860163
-0.012152384,0.08843294,30,1044.560153
-0.008573044,0.074331246,32,927.0198749
-0.011647393,0.074928658,30,1075.977683
-0.003223008,0.093178666,28,906.271148
0.004888098,0.063305528,20,949.7278524
-0.001496757,0.083553601,28,1055.626548
-0.002407248,0.109886374,29,1149.850424
-0.004845452,0.102996986,22,1094.12607
0.001812018,0.065143964,29,873.66778
-0.006280376,0.091554638,26,1033.161748
0.000330832,0.076909415,31,964.2972522
-0.007436097,0.074619622,32,1120.14133
-0.000222469,0.070283433,23,859.9904273
-0.012626235,0.077511168,23,1045.713976
-0.005789254,0.080408623,34,981.4425767
-0.008709713,0.065812758,34,857.0005796
-0.000272121,0.086316804,21,1075.067197
-0.00183512,0.077140569,21,1021.326994
-0.010280228,0.078426608,25,1130.699214
-0.010074637,0.096457192,33,1261.955394
-0.009513191,0.082790713,22,903.4482056
-0.00316596,0.079595185,32,769.2367991
-0.006710074,0.095688251,31,1063.196201
0.006108692,0.083854708,25,1154.504153
-0.003996927,0.080937076,23,976.1654529
-0.007182956,0.049459966,28,908.2394344
-0.009100859,0.083075649,27,1071.8609
-0.003850693,0.082161756,33,952.1478918
-0.002030644,0.092763564,27,1032.077161
-0.007172571,0.080293834,33,978.224699
-0.007812155,0.074472876,31,1011.376863
0.005962675,0.082333355,33,796.2934461
0.001863582,0.052187636,33,779.9265435
0.000235073,0.090176911,31,932.846484
0.000891814,0.095707546,23,1098.113886
-0.005826021,0.092009642,27,1006.135395
-0.010955804,0.067785026,32,1097.338038
-0.010891126,0.073620995,23,1051.328159
-0.005947019,0.086073992,27,911.5427684
-0.009336188,0.085677583,25,1039.009738
-0.003486464,0.082144791,25,1047.452081
0.00188287,0.080757332,27,903.8773759
-0.0120141,0.052611836,28,963.152944
-0.003670404,0.098996115,26,1009.681194
0.020311485,0.04957983,18,600.0115426
0.023933125,0.066772793,16,433.1692929
0.026011605,0.045520887,18,557.5471719
0.023411674,0.050759846,16,457.644171
0.021218946,0.051938857,11,586.0859868
0.015121277,0.049693252,12,528.0939316
0.021397704,0.064462097,15,493.7849489
0.024177957,0.035015851,10,435.5804062
0.016191241,0.050009467,12,500.5005034
0.025458797,0.05976879,16,489.4239014
0.020251118,0.058175608,15,414.4684091
0.01662898,0.052756941,10,544.196087
0.021275238,0.052249186,13,560.9208805
0.017981073,0.043767576,15,518.6460638
0.014304263,0.04226785,14,505.9367128
0.030869486,0.036107557,16,363.212912
0.011814118,0.052784157,16,410.3727016
0.020263566,0.057699664,16,449.4276779
0.020415357,0.044858493,16,546.3363937
0.013944865,0.055077845,11,465.4106395
0.022795212,0.042327408,10,611.7029257
0.019376408,0.053719619,16,464.7971935
0.019276444,0.064221386,17,503.4842671
0.019190182,0.04329429,10,426.6841045
0.019328857,0.043542793,13,505.6424836
0.016185025,0.050084097,17,505.510904
0.024048607,0.031782279,16,449.8894816
0.012124482,0.036359984,15,514.0614573
0.013291175,0.058027011,17,552.03111
0.01397684,0.050870265,19,515.9517767
0.017190364,0.061358623,19,497.5426846
0.018642734,0.05893829,15,582.0727014
0.019531978,0.062006202,19,481.9063764
0.021049157,0.057290594,17,509.1911187
0.021864562,0.038407353,18,498.8904112
0.026792132,0.051320814,17,493.8468201
0.019581606,0.051054302,18,511.5767255
0.026129199,0.030767699,18,523.8549989
0.025715911,0.05591408,16,518.0280719
0.019133654,0.055161708,18,513.801437
0.015391748,0.05451843,19,556.0541511
0.019084982,0.035024042,15,411.165386
0.013175068,0.045678878,17,430.8130599
0.021995398,0.046295979,16,513.0555386
0.018873344,0.065612211,13,510.0338103
0.016563588,0.057209807,13,494.6572508
0.019333756,0.063997783,17,534.7192345
0.029836436,0.051054875,15,526.1619673
0.011342411,0.062395212,19,425.2451541
0.020297442,0.054066787,16,499.4552309
0.017860515,0.030689725,16,450.611909
0.019518383,0.057622493,10,408.92232
0.026166339,0.065096005,16,494.8466404
0.019368764,0.052909081,12,509.5583367
0.016940032,0.049014055,16,485.2300084
0.031147421,0.071770973,11,570.4959124
0.023056566,0.035599873,15,503.3001003
0.017209636,0.062632066,17,558.542354
0.023614207,0.050280222,13,457.8827013
0.018219146,0.056761109,13,536.1320441
0.02029583,0.053168037,12,521.6483417
0.020186503,0.043193869,12,510.1520743
0.020679221,0.068948292,11,437.1752256
0.019848086,0.060076829,19,554.5686801
0.021321292,0.041991801,18,437.0224645
0.015901632,0.061697545,13,439.7493836
0.021011213,0.049952018,17,511.2522711
0.025153467,0.040891936,18,492.9154879
0.026773494,0.052868366,13,498.0746713
0.018715751,0.060118539,15,462.5265397
0.028290006,0.051012795,19,550.1606069
0.021341593,0.050785947,10,383.8960724
0.016110687,0.05705166,18,504.2117721
0.019218082,0.042303282,15,418.780395
0.019877437,0.052346673,13,527.5377558
0.02631143,0.034263408,15,458.982241
0.019364221,0.025894693,16,523.3141086
0.031219359,0.056128128,10,503.7946093
0.017836246,0.0280625,11,464.762765
0.006266248,0.055032616,14,486.9888886
0.013284675,0.046750584,12,525.4665035
0.029089951,0.027525213,13,529.3757745
0.014187663,0.04092037,15,561.919304
0.009865061,0.050018705,17,543.9534359
0.019571512,0.047178352,12,560.6814214
0.028274805,0.048891367,17,496.8232837
0.022616432,0.058481077,11,558.6819246
0.01386405,0.046857497,15,470.4827942
0.013601779,0.077543353,16,469.3517745
0.025877191,0.045572231,16,530.7026861
0.022770588,0.051939366,15,564.6144217
0.024471785,0.06176605,10,534.7592988
0.018719728,0.050010724,12,473.0594216
0.019523456,0.055283262,17,558.2202874
0.015214472,0.04540942,10,514.5881275
0.014986006,0.059743863,14,416.4647871
0.017706643,0.048548167,15,433.5760194
0.020124537,0.042711032,15,534.0917083
0.018280366,0.040233579,10,567.7213907
0.020721479,0.051936534,19,527.5781491
